,connector,relation,is_pair,counterpart
0,sowie,"['expansion', 'expansion']",False,
0,sowieso,['contingency'],False,
0,sowohl,['expansion'],True,wie
0,wie,['expansion'],True,sowohl
0,spaeter,['temporal'],False,
0,sprich,['expansion'],False,
0,statt,"['expansion', 'expansion']",False,
0,stattdessen,['expansion'],False,
0,teils,['expansion'],False,
0,trotz,['comparison'],False,
0,trotzdem,"['comparison', 'comparison']",False,
0,um,['contingency'],True,willen
0,willen,['contingency'],True,um
0,ueberdies,['expansion'],False,
0,ueberhaupt,['expansion'],False,
0,umso mehr,['contingency'],False,
0,als,['contingency'],True,umso
0,umso,['contingency'],True,als
0,um so mehr,['contingency'],True,als
0,als,['contingency'],True,um so mehr
0,als,"['contingency', 'expansion']",True,um so weniger
0,um so weniger,"['contingency', 'expansion']",True,als
0,unbeschadet dessen,['comparison'],False,
0,"unbeschadet dessen, daß",['comparison'],False,
0,und,"['expansion', 'temporal', 'comparison', 'contingency']",False,
0,und zwar,['expansion'],False,
0,"dessenungeachtet, daß","['comparison', 'expansion']",False,
0,unterdessen,"['comparison', 'temporal']",False,
0,"unterstellt, daß",['contingency'],False,
0,vermoege,[],False,
0,vielmehr,"['expansion', 'expansion']",False,
0,von,['contingency'],True,wegen
0,wegen,['contingency'],True,von
0,von daher,['contingency'],False,
0,vorausgesetzt,['contingency'],False,
0,"vorausgesetzt, daß",['contingency'],False,
0,vorbehaltlich dessen,['contingency'],False,
0,"vorbehaltlich dessen, daß",['contingency'],False,
0,vorher,['temporal'],False,
0,warum,['contingency'],False,
0,noch,['expansion'],True,weder
0,weder,['expansion'],True,noch
0,wegen,['contingency'],False,
0,weil,"['contingency', 'contingency']",False,
0,weiterhin,['expansion'],False,
0,wenn,"['temporal', 'contingency']",False,
0,auch,"['comparison', 'comparison']",True,wenn
0,wenn,"['comparison', 'comparison']",True,auch
0,wenngleich,"['comparison', 'comparison']",False,
0,weshalb,['contingency'],False,
0,weswegen,['contingency'],False,
0,wie,"['temporal', 'expansion']",False,
0,wiederum,"['expansion', 'comparison', 'comparison']",False,
0,wo,"['temporal', 'contingency']",False,
0,wobei,"['temporal', 'expansion', 'comparison', 'contingency', 'expansion']",False,
0,wodurch,"['contingency', 'expansion']",False,
0,wogegen,['comparison'],False,
0,wohingegen,"['comparison', 'comparison', 'expansion']",False,
0,womit,"['contingency', 'expansion', 'expansion']",False,
0,wonach,['temporal'],False,
0,worauf,['temporal'],False,
0,woraufhin,"['temporal', 'contingency']",False,
0,waehrend,"['temporal', 'comparison', 'temporal']",False,
0,waehrenddessen,"['temporal', 'comparison', 'temporal', 'comparison']",False,
0,als daß,['contingency'],True,zu
0,zu,['contingency'],True,als daß
0,zudem,['expansion'],False,
0,zuerst,['temporal'],False,
0,zugleich,"['temporal', 'expansion', 'comparison']",False,
0,zu guter letzt,"['temporal', 'expansion']",False,
0,zuletzt,['temporal'],False,
0,zum anderen,"['expansion', 'comparison']",False,
0,z.bsp.,['expansion'],False,
0,zum einen,"['expansion', 'comparison']",False,
0,zumal,"['expansion', 'contingency']",False,
0,zunaechst,"['temporal', 'expansion']",False,
0,zusaetzlich,['expansion'],False,
0,zuvor,['temporal'],False,
0,zwar,['comparison'],False,
0,zwecks,['contingency'],False,
0,zweitens,"['temporal', 'expansion']",False,
