,connector,relation,is_pair,counterpart
0,instead of,"['comparison.contrast', 'expansion.alternative']",False,
0,in case,['contingency.condition'],False,
0,without,"['expansion.conjunction', 'contingency.condition']",False,
0,even though,['comparison.concession'],False,
0,with,"['expansion.conjunction', 'expansion.restatement', 'contingency.cause']",False,
0,even if,['comparison.concession'],False,
0,by the way,"['expansion.conjunction', 'comparison.contrast']",False,
0,given that,"['contingency.pragmatic cause', 'contingency.cause', 'contingency.condition']",False,
0,in any event,"['expansion.conjunction', 'expansion.restatement']",False,
0,essentially,['expansion.instantiation'],False,
0,given,"['contingency.pragmatic cause', 'contingency.cause', 'contingency.condition']",False,
0,at that point,['temporal.synchronous'],False,
0,in essence,['expansion.conjunction'],False,
0,in response to,['contingency.cause'],False,
0,anyway,['expansion.conjunction'],False,
0,upon,['temporal.synchronous'],False,
0,except that,['expansion.exception'],False,
0,eventually,['temporal.asynchronous'],False,
0,at the same time,"['comparison.contrast', 'temporal.synchronous', 'expansion.list']",False,
0,in addition to,['expansion.conjunction'],False,
0,in spite of,['comparison.concession'],False,
0,in any case,"['expansion.conjunction', 'expansion.restatement']",False,
0,after all,"['contingency.pragmatic cause', 'expansion.conjunction']",False,
0,as a result of,['contingency.cause'],False,
0,irrespective of,['contingency'],False,
0,rather than,['expansion.alternative'],False,
0,after that,['temporal.asynchronous'],False,
0,but,['expansion.conjunction'],True,not only
0,not only,['expansion.conjunction'],True,but
0,whenever,['temporal.synchronous'],False,
0,particularly,['expansion.restatement'],False,
