,connector,relation,is_pair,counterpart
0,"vorausgesetzt, daß",['contingency.condition'],True,"vorausgesetzt, dass"
0,vorbehaltlich dessen,['contingency.condition'],False,
0,"vorbehaltlich dessen, daß",['contingency.condition'],True,"vorbehaltlich dessen, dass"
0,"vorbehaltlich dessen, dass",['contingency.condition'],True,"vorbehaltlich dessen, daß"
0,vorher,['temporal.asynchronous'],False,
0,warum,['contingency.cause'],False,
0,noch,['expansion.conjunction'],True,weder
0,weder,['expansion.conjunction'],True,noch
0,wegen,['contingency.cause'],False,
0,weil,"['contingency.cause', 'contingency.cause']",False,
0,weiterhin,['expansion.conjunction'],False,
0,wenn,"['temporal.synchronous', 'contingency.condition']",False,
0,auch,"['comparison.concession', 'comparison.concession']",True,wenn
0,wenn,"['comparison.concession', 'comparison.concession']",True,auch
0,wenngleich,"['comparison.concession', 'comparison.concession']",False,
0,weshalb,['contingency.cause'],False,
0,weswegen,['contingency.cause'],False,
0,wie,"['temporal.synchronous', 'expansion.equivalence']",False,
0,wiederum,"['expansion.conjunction', 'comparison.concession', 'comparison.contrast']",False,
0,wo,"['temporal.synchronous', 'contingency.cause']",False,
0,wobei,"['temporal.synchronous', 'expansion.level-of-detail', 'comparison.concession', 'contingency.cause', 'expansion.manner']",False,
0,wodurch,"['contingency.cause', 'expansion.manner']",False,
0,wogegen,['comparison.contrast'],False,
0,wohingegen,"['comparison.contrast', 'comparison.concession', 'expansion.conjunction']",False,
0,womit,"['contingency.cause', 'expansion.manner', 'expansion.conjunction']",False,
0,wonach,['temporal.asynchronous'],False,
0,worauf,['temporal.asynchronous'],False,
0,woraufhin,"['temporal.asynchronous', 'contingency.cause']",False,
0,während,"['temporal.synchronous', 'comparison.contrast', 'temporal.synchronous']",True,waehrend
0,waehrend,"['temporal.synchronous', 'comparison.contrast', 'temporal.synchronous']",True,während
0,währenddessen,"['temporal.synchronous', 'comparison.contrast', 'temporal.synchronous', 'comparison.contrast']",True,waehrenddessen
0,waehrenddessen,"['temporal.synchronous', 'comparison.contrast', 'temporal.synchronous', 'comparison.contrast']",True,währenddessen
0,zudem,['expansion.conjunction'],False,
0,zuerst,['temporal.asynchronous'],False,
0,zugleich,"['temporal.synchronous', 'expansion.conjunction', 'comparison.contrast']",False,
0,zu guter letzt,"['temporal.asynchronous', 'expansion.conjunction']",False,
0,zuletzt,['temporal.asynchronous'],False,
0,zum anderen,"['expansion.conjunction', 'comparison.contrast']",False,
0,zum einen,"['expansion.conjunction', 'comparison.contrast']",False,
0,zumal,"['expansion.level-of-detail', 'contingency.cause']",False,
0,zunächst,"['temporal.asynchronous', 'expansion.conjunction']",True,zunaechst
0,zunaechst,"['temporal.asynchronous', 'expansion.conjunction']",True,zunächst
0,zusätzlich,['expansion.conjunction'],True,zusaetzlich
0,zusaetzlich,['expansion.conjunction'],True,zusätzlich
0,zuvor,['temporal.asynchronous'],False,
0,zwar,['comparison.concession'],False,
0,zwecks,['contingency.purpose'],False,
0,zweitens,"['temporal.asynchronous', 'expansion.conjunction']",False,
